news,target,image-path
"Video shows that certain drinks can be ""test positive"" for COVID-19 when using at-home COVID-19 tests.",FALSE,Pg_1__1_60/2dd940da457d5af7e6409b784d19.jpg
"The 2020 election could not have been fair because ""Los Angeles County agreed, during litigation, that there were 1.2 million ineligible voters after the election.""",FALSE,Pg_1__2_3e709304e3ba6a1dae0aabc3c94c82a0.jpg
"Tammy Baldwin wants to take away"" Medicare and Social Security.",FALSE,Pg_1__10_2ef4c55b3bec220f9dc6f4c497c33dac.jpeg
Government announces new policy to improve education system nationwide.,REAL,Pg_1__3_education_policy.jpg
Scientists discovered water on Mars in 2025 mission.,REAL,Pg_1__4_mars_water.jpg
BREAKING: Celebrity admits to being an alien from another planet.,FALSE,Pg_1__11_a7ba9df9827cc40852c5a6007902f16c.jpg
Miracle cure for diabetes found in your kitchen pantry!,FALSE,Pg_1__12_44ae2bf80dd527ca8c1c5a1f45d7e114.jpg
Local team wins championship after thrilling final match.,REAL,Pg_1__13_e7de94bfce3bd5bee6cc2e6ba27085db.jpeg
Study shows coffee causes instant weight loss of 20 pounds.,FALSE,Pg_1__14_1ed8596754f998fb0d584f2106f00ec2.jpeg
Elections concluded peacefully with record voter turnout.,REAL,Pg_1__15_198a37646fee04256b2d0f9c093889a0.jpg
"You won a lottery you never entered, click now to claim prize.",FALSE,Pg_1__16_lottery_scam.jpg
New research reveals benefits of regular exercise on mental health.,REAL,Pg_1__17_exercise_study.jpg
5G towers are spreading coronavirus through radio waves.,FALSE,Pg_1__18_5g_conspiracy.jpg
President signs new infrastructure bill into law.,REAL,Pg_1__19_infrastructure_bill.jpg
Doctors hate this one weird trick to lose belly fat overnight.,FALSE,Pg_1__20_weight_loss_scam.jpg
Stock market reaches new all-time high amid economic recovery.,REAL,Pg_1__21_stock_market.jpg
"Drinking bleach can cure cancer, says anonymous source.",FALSE,Pg_1__22_bleach_cure.jpg
University announces free tuition program for low-income students.,REAL,Pg_1__23_free_tuition.jpg
"Aliens built the pyramids, new evidence suggests.",FALSE,Pg_1__24_alien_pyramids.jpg
Climate change report shows urgent need for action.,REAL,Pg_1__25_climate_report.jpg
Bill Gates putting microchips in vaccines to track population.,FALSE,Pg_1__26_microchip_conspiracy.jpg
New vaccine shows 95% effectiveness in clinical trials.,REAL,Pg_1__27_vaccine_trial.jpg
"Earth is flat, NASA photos are all fake, claims group.",FALSE,Pg_1__28_flat_earth.jpg
Supreme Court rules on landmark civil rights case.,REAL,Pg_1__29_supreme_court.jpg
Eating this one fruit will make you live forever.,FALSE,Pg_1__30_immortality_fruit.jpg
Technology company announces breakthrough in renewable energy.,REAL,Pg_1__31_renewable_energy.jpg
"Moon landing was staged in Hollywood studio, leaked documents show.",FALSE,Pg_1__32_moon_landing_hoax.jpg
International peace treaty signed between neighboring countries.,REAL,Pg_1__33_peace_treaty.jpg
Chemtrails are government mind control experiment.,FALSE,Pg_1__34_chemtrails.jpg
Hospital opens new cancer treatment center with advanced technology.,REAL,Pg_1__35_cancer_center.jpg
Reptilian overlords control world governments from underground.,FALSE,Pg_1__36_reptilian_conspiracy.jpg
City launches new public transportation initiative.,REAL,Pg_1__37_public_transport.jpg
Drinking hydrogen peroxide cures all diseases instantly.,FALSE,Pg_1__38_peroxide_cure.jpg
Scientists develop new method to clean ocean plastic.,REAL,Pg_1__39_ocean_cleanup.jpg
"Vaccines cause autism, debunked study claims again.",FALSE,Pg_1__40_vaccine_autism.jpg
Company creates jobs with new manufacturing plant opening.,REAL,Pg_1__41_manufacturing_jobs.jpg
Coronavirus is a hoax created by pharmaceutical companies.,FALSE,Pg_1__42_covid_hoax.jpg
Research team discovers new species in Amazon rainforest.,REAL,Pg_1__43_new_species.jpg
Eating only bananas for 30 days cures all health problems.,FALSE,Pg_1__44_banana_diet.jpg
National park expands conservation efforts to protect wildlife.,REAL,Pg_1__45_wildlife_conservation.jpg
Secret society controls all world events from shadows.,FALSE,Pg_1__46_secret_society.jpg
Tech startup raises millions in funding for innovative app.,REAL,Pg_1__47_startup_funding.jpg
Drinking apple cider vinegar melts fat while you sleep.,FALSE,Pg_1__48_vinegar_diet.jpg
Library system receives grant to expand digital resources.,REAL,Pg_1__49_library_grant.jpg
Government hiding evidence of time travel technology.,FALSE,Pg_1__50_time_travel.jpg
School district implements new STEM education program.,REAL,Pg_1__51_stem_program.jpg
Crystals can cure cancer better than chemotherapy.,FALSE,Pg_1__52_crystal_healing.jpg
Renewable energy now cheaper than fossil fuels in many regions.,REAL,Pg_1__53_renewable_cost.jpg
WiFi signals are killing bees and causing colony collapse.,FALSE,Pg_1__54_wifi_bees.jpg
Museum opens new exhibit featuring ancient artifacts.,REAL,Pg_1__55_museum_exhibit.jpg
Eating clay detoxifies your body from all toxins.,FALSE,Pg_1__56_clay_detox.jpg
Community center offers free coding classes for youth.,REAL,Pg_1__57_coding_classes.jpg
"Antarctica is actually a tropical paradise, ice is hologram.",FALSE,Pg_1__58_antarctica_hoax.jpg
Local business wins award for sustainable practices.,REAL,Pg_1__59_sustainability_award.jpg
